food_code,food_name,meal_type,primarysource,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug,servings_unit
ASC001,Hot tea (Garam Chai),"breakfast,snack",asc_manual,68.16152191,16.14429855,2.581947565,0.387885988,0.532066524,2.576009512,0,321.4964294,144.1805267,16.38954926,0,14.20427513,11.50118732,1.035629392,3.118764639,13.94536781,0.021615203,0.005914489,0.112826601,0.000475059,0.002256532,0,0.041092638,0,0.026128266,0,0,0.001923991,0,0.856294572,0.003562945,0.013206651,0.009501187,0.040665083,0.004750594,0.24228029,0.856294572,0.238717332,23.75296974,tea cup
ASC002,Instant coffee,"breakfast,snack",asc_manual,97.76667023,23.15583229,3.653333426,0.640666664,0.74666667,3.61500001,0,451.1666565,202.3333282,23,0,20.86666679,18.18666649,3.633333206,4.916666508,44.5,0.060999997,0.012333333,0.218333334,0.000666667,0.015666667,0,0.064999998,0,0.036666669,0,0,0.028666666,0,1.245000005,0.005266667,0.019733334,0.178666666,0.056666665,0.0068,0.776666641,1.245000005,0.335000008,33.33333206,tea cup
ASC003,Espreso coffee,"breakfast,snack",asc_manual,216.9968414,51.54337311,6.620504856,1.747003078,2.138170242,6.533753872,0,1291.671875,580.1577148,66.21450806,0,58.10409927,50.24921036,8.574132919,13.97791767,103.8643494,0.147634074,0.038201895,0.563091457,0.001892744,0.034384858,0,0.191482648,0,0.105394326,0,0,0.054258678,0,3.487381697,0.014763407,0.054889593,0.352681369,0.16182965,0.019211356,1.81072557,3.487381697,0.951104105,94.63722229,tea cup
ASC004,Iced tea,snack,asc_manual,44.09062195,10.34218788,2.701562405,0.027968749,0.0109375,2.701562405,0,5.46875,0,5.46875,0,1.1796875,0.584375024,0.39062497,0.234375,5.215624809,0.02140625,0.0030625,0.0546875,0,0.0009375,0,0.00796875,0,0,0,0,0.0016875,0,0.401562512,0.001640625,0.000671875,0.00546875,0.0068125,0.002734375,0.00625,0.401562512,1.859375,0.21875,tall glass
ASC005,Raw mango drink (Aam panna),snack,asc_manual,152.3947906,35.91822052,9.047467232,0.157034457,0.026340783,7.490847111,0.612025142,6.138268471,5.888193607,9.430632591,0,7.077746868,3.335195541,4.248603344,79.82497406,31.45298004,0.135460898,0.025819367,0.047700185,0.002187151,0.052229982,0.010614526,0.029017691,0,0.172458112,1.46030724,0,3.443668604,0,5.233556747,0.004068901,0.00453445,0.052905027,0.025716946,0.025148975,0.272984177,5.233556747,16.87210464,167.1862183,tall glass
ASC006,Fruit Punch (with fresh juices),snack,asc_manual,153.8872833,36.11684418,9.380591393,0.139348939,0.032502044,9.245637894,0.060054932,6.206655979,1.301735163,10.08202648,0,5.068009377,10.24249744,3.196671247,2.632138252,33.43281174,0.101978563,0.00980095,0.030541854,0.000262706,0.126043707,0.002847511,0.022566067,0,0.046497099,0.049133345,0,0.561272025,0,4.51407671,0.016708553,0.004304978,0.040735025,0.043319281,0.014121359,0.152406156,4.51407671,7.612774849,45.53494644,tall glass
ASC007,Fruit Punch (with squashes),snack,asc_manual,98.22452545,23.12828255,5.989855766,0.07234481,0.016838526,5.883439064,0.168226153,5.230045795,1.631409883,7.073691845,0,3.300873995,9.265067101,1.884335756,2.257480145,16.64989471,0.061472453,0.007000308,0.035449006,0.000493204,0.081855878,0.002187596,0.01189953,0,0.027961459,0.053635884,0,0.652341247,0,1.815893769,0.004663657,0.002422962,0.01794525,0.016467033,0.008435669,0.078176737,1.815893769,2.999492884,55.68623734,tall glass
ASC008,Lemonade,"breakfast,snack",asc_manual,88.6614151,20.79898262,5.478568077,0.034817468,0.010450967,5.471953869,0.01686471,4.652827263,0.037881177,5.302791595,0,1.839656353,0.668575525,0.730136037,28.52360725,5.730135918,0.047916967,0.00730136,0.073843956,0.000180387,0.003035075,0.002863278,0.01166786,0,0.001317108,0.009649249,0,0.46957767,0,0.604151726,0.001345741,0.000973515,0.006413744,0.006127416,0.002634216,0.006327845,0.604151726,1.509405851,53.69505692,glass
ASC009,Lem-o-gin,snack,asc_manual,91.63279724,21.5173645,5.551969051,0.080756836,0.02810091,5.384456635,0.129194111,9.411353111,1.466026664,13.20112133,0,2.197897673,1.587105751,1.863910317,28.13481522,14.16608238,0.086853541,0.009880869,0.072291523,0.000449895,0.083910301,0.003083392,0.019621583,0,0.008016818,0.095430978,0,0.996846497,0,0.818920791,0.002158374,0.001793973,0.01510862,0.011044148,0.006783462,0.02868956,0.818920791,1.591828942,59.48283005,glass
ASC010,Cumin infused water (Jeere/Zeere ka pani),"breakfast,snack",asc_manual,38.22722244,9.089806557,1.864382148,0.169516787,0.11049059,1.4616009,0.463533759,14.50107002,40.03645706,33.52784729,0,10.84382153,4.472076893,5.280117989,189.5951233,32.15123749,0.315020293,0.017484324,0.129450381,0.001917374,0.233412027,0.016967909,0.042736996,0,0.013493177,0.57188493,0,1.768720031,0,0.926720738,0.009664331,0.003297676,0.049007747,0.01094799,0.006595352,0.034798969,0.926720738,1.0662781,64.09368896,glass
ASC011,Coco pine cooler,snack,asc_manual,138.4729309,32.74876022,5.717686176,0.555053234,0.999981463,5.523442745,0.257246643,627.3115234,248.9610443,41.49863815,3.401203156,17.81040192,13.4688158,6.591314316,23.19581413,66.64993286,0.125765845,0.01422721,0.305127263,0.000475706,0.134488657,0.004627487,0.069111526,10.52753353,0.067526609,0.067137897,0,0.843776047,0,2.924518824,0.025393335,0.043061085,0.054775566,0.14250578,0.018373439,0.29131189,2.924518824,2.468739033,96.55332184,tall glass
